date_local_int,Consumption
20180901,552.8
20180902,542.74
20180903,616.59
20180904,632.25
20180905,640.3
20180906,646.83
20180907,636.78
20180908,567.18
20180909,560.48
20180910,630.56
20180911,629.98
20180912,645.63
20180913,651.36
20180914,638.99
20180915,568.04
20180916,564.45
20180917,636.26
20180918,648.18
20180919,651.08
20180920,650.3
20180921,642.1
20180922,571.34
20180923,564.94
20180924,643.06
20180925,654.64
20180926,652.86
20180927,658.03
20180928,648.19
20180929,579.6
20181001,653.95
20181002,661.52
20181003,664.15
20181004,663.94
20181005,653.9
20181006,578.63
20181007,583.59
20181008,667.12
20181009,668.2
20181010,667.18
20181011,642.72
20181012,569.92
20181013,562.92
20181014,590.07
20181015,690.48
20181016,702.51
20181017,696.58
20181018,700.16
20181019,691.13
20181020,614.7
20181021,610.0
20181022,694.46
20181023,704.17
20181024,708.72
20181025,711.26
20181026,725.05
20181027,738.96
20181028,791.84
20181029,943.51
20181030,950.91
20181031,926.0
20181101,817.53
20181102,815.32
20181103,772.35
20181104,778.0
20181105,918.73
20181106,933.95
20181107,904.15
20181108,901.74
20181109,884.77
20181110,772.42
20181111,740.69
20181112,855.39
20181113,840.12
20181114,825.81
20181115,817.88
20181117,729.46
20181118,774.03
20181119,879.81
20181120,927.89
20181121,933.45
20181122,941.43
20181123,946.55
20181124,865.53
20181125,857.63
20181126,987.16
20181127,981.57
20181128,986.23
20181129,993.99
20181130,964.29
20181201,885.38
20181202,858.35
20181203,954.66
20181204,917.03
20181205,904.27
20181206,827.29
20181207,859.92
20181208,806.5
20181209,819.69
20181210,954.04
20181211,975.11
20181212,982.25
20181213,1010.76
20181214,999.33
20181215,885.21
20181216,875.93
20181217,1022.0
20181218,1033.86
20181219,1006.68
20181220,992.67
20181221,938.21
20181222,822.73
20181223,795.02
20181224,739.75
20181225,711.11
20181226,849.26
20181227,900.17
20181228,891.2
20181229,841.34
20181230,833.23
20181231,808.71
20190101,779.21
20190102,986.96
20190103,1027.32
20190104,1028.23
20190105,958.45
20190106,936.89
20190107,1067.09
20190108,1117.28
20190109,1095.76
20190110,1144.67
20190111,1167.85
20190112,1024.57
20190113,996.35
20190114,1070.84
20190115,1066.43
20190116,1091.5
20190117,1095.94
20190118,1107.46
20190119,997.33
20190120,975.61
20190121,1098.45
20190122,1135.78
20190123,1087.5
20190124,1054.78
20190125,997.91
20190126,888.52
20190127,911.05
20190128,1037.94
20190129,1076.23
20190130,1060.65
20190131,1002.08
20190201,1006.35
20190202,970.08
20190203,983.5
20190204,1092.51
20190205,1029.62
20190206,1000.48
20190207,1000.75
20190208,976.96
20190209,861.15
20190210,865.22
20190211,970.84
20190212,994.26
20190213,984.01
20190214,974.5
20190215,960.85
20190216,845.02
20190217,845.79
20190218,966.56
20190219,960.46
20190220,962.03
20190221,940.33
20190222,851.04
20190223,791.45
20190224,786.62
20190225,890.49
20190226,871.42
20190227,859.58
20190228,861.98
20190301,841.03
20190302,732.78
20190303,719.83
20190304,831.46
20190305,839.93
20190306,886.3
20190307,900.21
20190308,872.6
20190309,752.48
20190310,729.31
20190311,836.22
20190312,841.67
20190313,887.32
20190314,887.32
20190315,833.03
20190316,710.87
20190317,721.13
20190318,847.27
20190319,858.98
20190320,902.31
20190321,903.15
20190322,863.01
20190323,718.6
20190324,694.75
20190325,801.59
20190326,827.18
20190327,835.84
20190328,836.46
20190329,814.37
20190330,692.81
20190331,732.24
20190401,815.01
20190402,795.27
20190403,861.59
20190404,883.35
20190405,917.85
20190406,826.72
20190407,806.56
20190408,877.23
20190409,900.42
20190410,892.53
20190411,875.01
20190412,819.84
20190413,697.32
20190414,655.48
20190415,738.82
20190416,738.48
20190417,718.35
20190418,692.67
20190419,656.08
20190420,630.68
20190421,663.86
20190422,701.09
20190423,786.67
20190424,847.64
20190425,829.48
20190426,806.46
20190427,691.09
20190428,661.23
20190429,726.03
20190430,703.29
20190501,625.9
20190502,694.58
20190503,723.93
20190504,633.74
20190505,639.89
20190506,720.61
20190507,712.44
20190508,693.66
20190509,698.92
20190510,669.17
20190511,599.39
20190512,593.28
20190513,675.02
20190514,678.25
20190515,664.61
20190516,682.94
20190517,691.72
20190518,632.51
20190519,632.31
20190520,709.71
20190521,699.59
20190522,685.31
20190523,679.02
20190524,684.69
20190525,607.94
20190526,597.36
20190527,669.21
20190528,686.67
20190529,677.29
20190530,652.53
20190531,640.23
20190601,569.28
20190602,569.99
20190603,650.66
20190604,657.25
20190605,672.51
20190606,664.1
20190607,659.28
20190608,583.06
20190609,577.6
20190610,659.49
20190611,681.06
20190612,683.99
20190613,678.76
20190614,664.17
20190615,591.12
20190616,576.42
20190617,659.2
20190618,661.83
20190619,656.41
20190620,655.7
20190621,647.86
20190622,565.16
20190623,550.76
20190624,600.67
20190625,633.18
20190626,624.46
20190627,618.95
20190628,612.06
20190629,551.81
20190630,546.9
20190701,623.55
20190702,647.19
20190703,626.75
20190704,623.89
20190705,621.48
20190706,552.74
20190707,543.65
20190708,632.99
20190709,634.22
20190710,632.34
20190711,630.02
20190712,614.38
20190713,542.65
20190714,535.72
20190715,621.91
20190716,630.81
20190717,633.95
20190718,628.4
20190719,623.71
20190720,551.24
20190721,543.85
20190722,610.33
20190723,610.96
20190724,610.47
20190725,602.41
20190726,599.69
20190727,535.97
20190728,522.78
20190729,599.03
20190730,604.12
20190731,605.16
20190801,602.42
20190802,585.92
20190803,524.62
20190804,509.48
20190805,554.53
20190806,558.41
20190807,559.36
20190808,557.86
20190809,548.76
20190810,511.24
20190811,501.75
20190812,543.22
20190813,547.8
20190814,541.31
20190815,507.16
20190816,518.18
20190817,488.37
20190818,487.19
20190819,550.11
20190820,562.62
20190821,563.86
20190822,564.38
20190823,555.72
20190824,508.3
20190825,499.54
20190826,584.97
20190827,603.95
