datetime_utc,local_datetime,date_local_int,hora,tamax,tamin,prec,vmax,inso
2018-08-31 22:00:00+00:00,2018-09-01 00:00:00+02:00,20180901,1,25.5,25.4,0.0,4.1,0.0
2018-08-31 23:00:00+00:00,2018-09-01 01:00:00+02:00,20180901,2,25.4,25.2,0.0,4.1,0.0
2018-09-01 00:00:00+00:00,2018-09-01 02:00:00+02:00,20180901,3,25.4,25.2,0.0,3.6,0.0
2018-09-01 01:00:00+00:00,2018-09-01 03:00:00+02:00,20180901,4,25.2,23.9,0.0,3.1,0.0
2018-09-01 02:00:00+00:00,2018-09-01 04:00:00+02:00,20180901,5,23.9,23.3,0.0,3.6,0.0
2018-09-01 03:00:00+00:00,2018-09-01 05:00:00+02:00,20180901,6,23.3,22.8,0.0,4.6,0.0
2018-09-01 04:00:00+00:00,2018-09-01 06:00:00+02:00,20180901,7,23.1,22.8,0.0,5.1,0.0
2018-09-01 05:00:00+00:00,2018-09-01 07:00:00+02:00,20180901,8,23.2,22.8,0.0,3.6,0.0
2018-09-01 06:00:00+00:00,2018-09-01 08:00:00+02:00,20180901,9,23.1,22.4,0.0,3.6,0.0
2018-09-01 07:00:00+00:00,2018-09-01 09:00:00+02:00,20180901,10,23.1,22.4,0.0,4.6,0.0
2018-09-01 08:00:00+00:00,2018-09-01 10:00:00+02:00,20180901,11,24.4,23.1,0.0,4.6,1.0
2018-09-01 09:00:00+00:00,2018-09-01 11:00:00+02:00,20180901,12,25.9,24.3,0.0,8.2,4.0
2018-09-01 10:00:00+00:00,2018-09-01 12:00:00+02:00,20180901,13,26.0,25.1,0.0,9.8,6.0
2018-09-01 11:00:00+00:00,2018-09-01 13:00:00+02:00,20180901,14,26.1,25.2,0.0,9.8,0.0
2018-09-01 12:00:00+00:00,2018-09-01 14:00:00+02:00,20180901,15,25.7,24.1,1.0,7.2,0.0
2018-09-01 13:00:00+00:00,2018-09-01 15:00:00+02:00,20180901,16,25.8,25.0,0.0,6.7,0.0
2018-09-01 14:00:00+00:00,2018-09-01 16:00:00+02:00,20180901,17,25.7,25.1,0.0,6.2,2.0
2018-09-01 15:00:00+00:00,2018-09-01 17:00:00+02:00,20180901,18,26.2,25.4,0.0,8.2,10.0
2018-09-01 16:00:00+00:00,2018-09-01 18:00:00+02:00,20180901,19,26.2,25.6,0.0,6.7,24.0
2018-09-01 17:00:00+00:00,2018-09-01 19:00:00+02:00,20180901,20,25.9,25.3,0.0,6.2,0.0
2018-09-01 18:00:00+00:00,2018-09-01 20:00:00+02:00,20180901,21,25.5,25.2,0.0,5.7,0.0
2018-09-01 19:00:00+00:00,2018-09-01 21:00:00+02:00,20180901,22,25.4,25.1,0.0,6.7,0.0
2018-09-01 20:00:00+00:00,2018-09-01 22:00:00+02:00,20180901,23,25.1,24.9,0.0,6.2,0.0
2018-09-01 21:00:00+00:00,2018-09-01 23:00:00+02:00,20180901,24,25.3,25.1,0.0,6.2,0.0
2018-09-01 22:00:00+00:00,2018-09-02 00:00:00+02:00,20180902,1,25.1,24.9,0.0,5.1,0.0
2018-09-01 23:00:00+00:00,2018-09-02 01:00:00+02:00,20180902,2,25.3,24.9,0.0,3.6,0.0
2018-09-02 00:00:00+00:00,2018-09-02 02:00:00+02:00,20180902,3,25.2,24.8,0.0,3.1,0.0
2018-09-02 01:00:00+00:00,2018-09-02 03:00:00+02:00,20180902,4,25.0,24.7,0.0,3.1,0.0
2018-09-02 02:00:00+00:00,2018-09-02 04:00:00+02:00,20180902,5,24.7,23.7,0.0,4.1,0.0
2018-09-02 03:00:00+00:00,2018-09-02 05:00:00+02:00,20180902,6,23.7,23.2,0.0,5.1,0.0
2018-09-02 04:00:00+00:00,2018-09-02 06:00:00+02:00,20180902,7,23.2,22.9,0.0,4.1,0.0
2018-09-02 05:00:00+00:00,2018-09-02 07:00:00+02:00,20180902,8,22.9,22.8,0.0,4.1,0.0
2018-09-02 06:00:00+00:00,2018-09-02 08:00:00+02:00,20180902,9,22.8,22.5,0.0,4.1,0.0
2018-09-02 07:00:00+00:00,2018-09-02 09:00:00+02:00,20180902,10,24.0,22.7,0.0,3.6,9.0
2018-09-02 08:00:00+00:00,2018-09-02 10:00:00+02:00,20180902,11,26.0,24.1,0.0,6.7,15.0
2018-09-02 09:00:00+00:00,2018-09-02 11:00:00+02:00,20180902,12,26.2,25.7,0.0,7.2,10.0
2018-09-02 10:00:00+00:00,2018-09-02 12:00:00+02:00,20180902,13,26.5,26.0,0.0,7.2,12.0
2018-09-02 11:00:00+00:00,2018-09-02 13:00:00+02:00,20180902,14,26.3,26.0,0.0,6.7,0.0
2018-09-02 12:00:00+00:00,2018-09-02 14:00:00+02:00,20180902,15,26.7,26.0,0.0,6.7,10.0
2018-09-02 13:00:00+00:00,2018-09-02 15:00:00+02:00,20180902,16,27.1,26.4,0.0,7.2,36.0
2018-09-02 14:00:00+00:00,2018-09-02 16:00:00+02:00,20180902,17,27.3,26.8,0.0,8.8,60.0
2018-09-02 15:00:00+00:00,2018-09-02 17:00:00+02:00,20180902,18,27.7,27.0,0.0,8.8,60.0
2018-09-02 16:00:00+00:00,2018-09-02 18:00:00+02:00,20180902,19,27.8,27.1,0.0,7.2,53.0
2018-09-02 17:00:00+00:00,2018-09-02 19:00:00+02:00,20180902,20,28.0,27.5,0.0,5.1,60.0
2018-09-02 18:00:00+00:00,2018-09-02 20:00:00+02:00,20180902,21,27.7,26.7,0.0,3.6,17.0
2018-09-02 19:00:00+00:00,2018-09-02 21:00:00+02:00,20180902,22,26.7,26.1,0.0,10.3,0.0
2018-09-02 20:00:00+00:00,2018-09-02 22:00:00+02:00,20180902,23,26.1,25.6,0.0,9.8,0.0
2018-09-02 21:00:00+00:00,2018-09-02 23:00:00+02:00,20180902,24,25.8,25.4,0.0,8.8,0.0
2018-09-02 22:00:00+00:00,2018-09-03 00:00:00+02:00,20180903,1,25.5,25.2,0.0,8.2,0.0
2018-09-02 23:00:00+00:00,2018-09-03 01:00:00+02:00,20180903,2,25.2,25.0,0.0,7.2,0.0
2018-09-03 00:00:00+00:00,2018-09-03 02:00:00+02:00,20180903,3,25.2,25.0,0.0,6.2,0.0
2018-09-03 01:00:00+00:00,2018-09-03 03:00:00+02:00,20180903,4,25.0,24.6,0.0,4.1,0.0
2018-09-03 02:00:00+00:00,2018-09-03 04:00:00+02:00,20180903,5,24.6,23.8,0.0,3.6,0.0
2018-09-03 03:00:00+00:00,2018-09-03 05:00:00+02:00,20180903,6,23.7,23.3,0.0,4.1,0.0
2018-09-03 04:00:00+00:00,2018-09-03 06:00:00+02:00,20180903,7,23.6,23.5,0.0,3.6,0.0
2018-09-03 05:00:00+00:00,2018-09-03 07:00:00+02:00,20180903,8,23.6,23.5,0.0,3.6,0.0
2018-09-03 06:00:00+00:00,2018-09-03 08:00:00+02:00,20180903,9,23.8,23.5,0.0,4.6,0.0
2018-09-03 07:00:00+00:00,2018-09-03 09:00:00+02:00,20180903,10,24.8,23.8,0.0,3.6,0.0
2018-09-03 08:00:00+00:00,2018-09-03 10:00:00+02:00,20180903,11,27.2,24.8,0.0,3.1,47.0
2018-09-03 09:00:00+00:00,2018-09-03 11:00:00+02:00,20180903,12,28.8,27.0,0.0,5.1,22.0
2018-09-03 10:00:00+00:00,2018-09-03 12:00:00+02:00,20180903,13,28.6,27.8,0.0,6.7,47.0
2018-09-03 11:00:00+00:00,2018-09-03 13:00:00+02:00,20180903,14,28.2,27.6,0.0,7.2,42.0
2018-09-03 12:00:00+00:00,2018-09-03 14:00:00+02:00,20180903,15,28.6,27.6,0.0,6.7,40.0
2018-09-03 13:00:00+00:00,2018-09-03 15:00:00+02:00,20180903,16,28.6,27.8,0.0,5.7,33.0
2018-09-03 14:00:00+00:00,2018-09-03 16:00:00+02:00,20180903,17,28.8,28.1,0.0,9.3,50.0
2018-09-03 15:00:00+00:00,2018-09-03 17:00:00+02:00,20180903,18,28.8,28.0,0.0,8.8,26.0
2018-09-03 16:00:00+00:00,2018-09-03 18:00:00+02:00,20180903,19,28.3,27.4,0.0,8.2,0.0
2018-09-03 17:00:00+00:00,2018-09-03 19:00:00+02:00,20180903,20,27.5,27.2,0.0,5.7,0.0
2018-09-03 18:00:00+00:00,2018-09-03 20:00:00+02:00,20180903,21,27.2,27.0,0.0,5.1,6.0
2018-09-03 19:00:00+00:00,2018-09-03 21:00:00+02:00,20180903,22,27.1,25.8,0.0,8.8,0.0
2018-09-03 20:00:00+00:00,2018-09-03 22:00:00+02:00,20180903,23,25.8,25.3,0.0,8.8,0.0
2018-09-03 21:00:00+00:00,2018-09-03 23:00:00+02:00,20180903,24,25.8,25.3,0.0,3.6,0.0
2018-09-03 22:00:00+00:00,2018-09-04 00:00:00+02:00,20180904,1,25.8,24.7,1.5,5.1,0.0
2018-09-03 23:00:00+00:00,2018-09-04 01:00:00+02:00,20180904,2,25.2,24.4,0.0,4.6,0.0
2018-09-04 00:00:00+00:00,2018-09-04 02:00:00+02:00,20180904,3,25.8,25.0,0.0,6.2,0.0
2018-09-04 01:00:00+00:00,2018-09-04 03:00:00+02:00,20180904,4,25.4,24.3,0.0,6.2,0.0
2018-09-04 02:00:00+00:00,2018-09-04 04:00:00+02:00,20180904,5,24.3,24.1,0.0,6.2,0.0
2018-09-04 03:00:00+00:00,2018-09-04 05:00:00+02:00,20180904,6,24.1,23.9,0.0,4.1,0.0
2018-09-04 04:00:00+00:00,2018-09-04 06:00:00+02:00,20180904,7,24.1,23.9,0.0,2.1,0.0
2018-09-04 05:00:00+00:00,2018-09-04 07:00:00+02:00,20180904,8,23.9,23.3,0.0,5.1,0.0
2018-09-04 06:00:00+00:00,2018-09-04 08:00:00+02:00,20180904,9,23.5,23.2,0.0,3.6,0.0
2018-09-04 07:00:00+00:00,2018-09-04 09:00:00+02:00,20180904,10,24.4,23.5,0.0,6.7,21.0
2018-09-04 08:00:00+00:00,2018-09-04 10:00:00+02:00,20180904,11,26.0,24.3,0.0,7.7,28.0
2018-09-04 09:00:00+00:00,2018-09-04 11:00:00+02:00,20180904,12,27.4,26.0,0.0,7.7,54.0
2018-09-04 10:00:00+00:00,2018-09-04 12:00:00+02:00,20180904,13,28.0,27.2,0.0,7.7,59.0
2018-09-04 11:00:00+00:00,2018-09-04 13:00:00+02:00,20180904,14,28.2,27.3,0.0,9.8,60.0
2018-09-04 12:00:00+00:00,2018-09-04 14:00:00+02:00,20180904,15,27.7,27.1,0.0,8.8,57.0
2018-09-04 13:00:00+00:00,2018-09-04 15:00:00+02:00,20180904,16,27.6,27.0,0.0,9.3,59.0
2018-09-04 14:00:00+00:00,2018-09-04 16:00:00+02:00,20180904,17,27.9,27.2,0.0,8.2,60.0
2018-09-04 15:00:00+00:00,2018-09-04 17:00:00+02:00,20180904,18,27.8,27.2,0.0,8.8,60.0
2018-09-04 16:00:00+00:00,2018-09-04 18:00:00+02:00,20180904,19,27.5,26.3,0.0,8.2,25.0
2018-09-04 17:00:00+00:00,2018-09-04 19:00:00+02:00,20180904,20,26.3,25.9,0.0,8.2,12.0
2018-09-04 18:00:00+00:00,2018-09-04 20:00:00+02:00,20180904,21,26.0,25.0,0.0,9.3,10.0
2018-09-04 19:00:00+00:00,2018-09-04 21:00:00+02:00,20180904,22,25.1,24.6,0.0,8.2,0.0
2018-09-04 20:00:00+00:00,2018-09-04 22:00:00+02:00,20180904,23,24.7,24.5,0.0,8.8,0.0
2018-09-04 21:00:00+00:00,2018-09-04 23:00:00+02:00,20180904,24,24.6,24.5,0.0,7.7,0.0
2018-09-04 22:00:00+00:00,2018-09-05 00:00:00+02:00,20180905,1,24.7,24.5,0.0,4.6,0.0
2018-09-04 23:00:00+00:00,2018-09-05 01:00:00+02:00,20180905,2,24.6,23.6,0.0,6.7,0.0
2018-09-05 00:00:00+00:00,2018-09-05 02:00:00+02:00,20180905,3,23.7,23.1,0.0,7.2,0.0
