nm_habs,cod_an
437,id_4130
268,id_6641
352,id_3820
1044,id_4070
297,id_3936
592,id_5392
1721,id_0210
699,id_0295
19,id_5477
163,id_0036
208,id_1982
390,id_1553
10081,id_6235
1571,id_7844
35,id_0359
3450,id_7231
567,id_4047
79745,id_3231
151,id_2539
1880,id_3352
3560,id_7777
120,id_0440
13155,id_4330
158,id_2616
615,id_2212
338,id_3670
2621,id_7496
361,id_0296
896,id_4419
344,id_0846
725,id_3305
166,id_4469
118,id_0841
3940,id_5437
916,id_0274
61,id_3108
179,id_2546
461,id_4439
278,id_0687
544,id_4285
1877,id_2074
4205,id_4762
932,id_3840
153,id_3057
2507,id_4405
5813,id_5421
241,id_0040
3077,id_8035
17523,id_0765
109,id_0497
56,id_3693
603,id_3157
528,id_0174
348,id_2557
270,id_6663
5239,id_3135
597,id_4348
566,id_2482
324,id_1885
177,id_0833
797,id_2484
416,id_8107
299,id_4526
349040,id_6589
1510,id_3394
3796,id_1228
909,id_3861
755,id_4572
138,id_3954
1837,id_6568
68,id_4270
156,id_7526
5029,id_7381
531,id_3743
4294,id_1276
5086,id_5490
118,id_1215
13215,id_1500
143,id_7116
473,id_6023
9477,id_3932
75,id_1134
417,id_0105
9131,id_0799
530,id_4650
101,id_0619
8015,id_7035
58,id_0456
288,id_4972
524,id_2822
187,id_7213
926,id_1743
128,id_5825
9488,id_4669
12297,id_0162
762,id_1464
1332,id_5476
158,id_1361
2024,id_2211
80329,id_2170
2450,id_6596
1959,id_3505
525,id_5629
1517,id_2947
797,id_3953
216,id_1933
220,id_0556
3745,id_5143
59,id_2417
113,id_1510
8744,id_4059
1150,id_4461
21771,id_4256
6600,id_4347
1268,id_6366
2445,id_2193
416,id_3162
43,id_0917
958,id_0415
1467,id_8075
9444,id_3603
26,id_6585
3138,id_6085
284,id_0189
704,id_2555
789,id_4367
17028,id_5061
128,id_3622
10393,id_3952
1205,id_8088
422,id_5684
305,id_1696
6953,id_1657
1005,id_3194
135,id_0459
4426,id_7222
143,id_2665
268,id_6993
65,id_3482
1097,id_7192
158,id_1338
508,id_3303
1324,id_8092
6051,id_5814
334,id_7221
76,id_7558
1574,id_6935
69,id_7099
4285,id_7653
33,id_5608
421,id_2376
141,id_2397
1099,id_1863
119,id_3359
94,id_5607
1458,id_1089
343,id_3866
44,id_5543
17673,id_8039
173,id_6026
23945,id_2255
3150,id_0251
448,id_5634
34,id_2084
76,id_6114
4743,id_7191
8246,id_2418
277,id_0781
1432,id_4654
590,id_1792
139,id_6692
171,id_4603
47,id_6733
1767,id_4396
2676,id_3171
1334,id_4750
106,id_1558
19430,id_5442
148,id_0900
44,id_3541
53,id_2709
2278,id_3035
5156,id_1642
1209,id_3396
831,id_6285
237,id_3474
1437,id_3868
23190,id_6246
289,id_1169
306,id_4356
2222,id_5298
1103,id_0674
1959,id_3061
979,id_3463
470,id_5922
2996,id_1858
287,id_2868
3866,id_1112
9471,id_7330
245,id_4198
630,id_0059
1716,id_4845
410,id_5600
13145,id_3918
1235,id_2290
102,id_6240
5230,id_4956
1506,id_3272
5520,id_3920
968,id_5638
108,id_0003
3617,id_2153
1608,id_6561
572,id_7292
187,id_1259
1536,id_4794
860,id_2056
61,id_0998
13605,id_1107
1697,id_1658
23658,id_7738
75,id_6059
70,id_8018
1003,id_4532
1746,id_6661
3086,id_4712
901,id_1100
631,id_5923
20002,id_6990
